County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Adams,28686,28500,28547,28466,28300,28096,28063,27914,27832,27726
Allen,106773,106518,106366,105975,105233,105025,104843,104093,103626,103198
Ashland,53499,53305,53324,53247,53233,53118,53107,53224,53417,53628
Ashtabula,101826,101584,101397,101060,100227,99716,99021,98396,98169,97807
Athens,64546,64618,65178,65080,64590,64456,64649,65793,66320,66597
Auglaize,46167,45996,45931,45767,45793,45814,45753,45749,45797,45778
Belmont,70356,70439,70340,70117,69700,69555,69348,68943,68568,68029
Brown,44668,44740,44880,44639,44294,44126,43944,43703,43644,43576
Butler,364179,366633,369088,370049,370432,371017,373388,375569,377933,380604
Carroll,28999,28917,28848,28821,28540,28256,28131,27716,27637,27385
Champaign,40263,40265,40072,39811,39561,39447,39061,38941,38737,38840
Clark,139404,138778,138265,137754,137115,136567,136233,135624,134621,134557
Clermont,195891,196512,197590,198818,199440,200356,201377,201867,203016,204214
Clinton,42656,42418,41913,41895,41803,41844,41788,41822,41881,42009
Columbiana,108469,107948,107876,107386,106585,105908,105557,104632,103744,103077
Coshocton,36953,36878,36936,36925,36820,36718,36526,36579,36644,36544
Crawford,44291,43921,43757,43308,42778,42709,42386,42277,42037,41746
Cuyahoga,1291479,1285082,1278200,1270461,1266210,1264622,1262459,1257957,1253454,1248514
Darke,52909,52829,52964,52646,52508,52294,52173,51956,51636,51536
Defiance,39250,39060,39082,38988,38797,38521,38481,38276,38121,38156
Delaware,166652,170676,175116,178546,181148,185319,189382,193179,196777,200464
Erie,77573,77085,76981,76675,76404,76011,75763,75310,74944,74817
Fairfield,144029,145446,146396,147140,147272,148712,150309,151197,152681,154733
Fayette,28896,28929,29007,28854,28754,28666,28630,28583,28662,28752
Franklin,1141183,1155408,1166274,1180739,1198608,1216299,1235582,1253674,1269998,1291981
Fulton,42780,42747,42626,42351,42324,42183,42398,42283,42325,42289
Gallia,30997,30857,31077,31025,30869,30615,30347,30083,29996,29973
Geauga,93583,93446,93396,93292,93776,93840,93976,93895,93848,93918
Greene,160115,161075,161592,163561,164306,163722,164496,164047,165109,166752
Guernsey,40347,40242,40127,39902,39871,39705,39689,39385,39200,39093
Hamilton,799840,802149,802279,800617,802318,804409,806790,808405,810087,813822
Hancock,74781,74964,74687,74903,75443,75516,75189,75493,75590,75754
Hardin,32200,32185,32124,31800,31626,31731,31763,31613,31407,31364
Harrison,15856,15860,15826,15789,15684,15603,15518,15393,15257,15216
Henry,28523,28322,28167,27991,27808,27805,27586,27472,27269,27185
Highland,43700,43578,43614,43364,42953,43179,43073,42939,42993,42971
Hocking,29445,29358,29479,29462,29302,28647,28739,28491,28386,28474
Holmes,42029,42275,42473,42788,43125,43602,43781,43868,43832,43957
Huron,60121,59754,59557,59390,59160,58762,58562,58277,58391,58494
Jackson,33164,33115,33255,33128,32876,32802,32771,32564,32534,32449
Jefferson,69989,69833,69661,69018,68525,68148,67853,67471,66914,66359
Knox,60348,60633,61092,61271,60740,60787,60929,60916,60832,61261
Lake,229904,229954,229991,229934,229485,229885,229662,229571,229270,230117
Lawrence,62640,62667,62423,62409,62139,61847,61538,60921,60729,60249
Licking,163916,165283,166713,167149,167568,168401,169295,170425,171822,173448
Logan,46115,46055,45749,45623,45409,45388,45469,45260,45171,45325
Lorain,299814,300893,301461,301816,301637,302908,304313,305291,306590,307924
Lucas,443909,442603,441430,439282,436673,435886,434372,433315,432562,430887
Madison,43163,43353,43434,43112,42982,43224,43953,44095,43354,44036
Mahoning,241572,240050,238391,237328,235657,234276,233278,231764,230169,229796
Marion,66840,66497,66455,66584,66267,65952,65784,65379,65334,64967
Medina,170330,171688,172509,173488,173603,174589,175817,176128,176903,178371
Meigs,23534,23770,23732,23646,23571,23442,23282,23187,23177,23080
Mercer,41022,40855,40786,40706,40700,40607,40721,40706,40710,40873
Miami,102430,102526,102483,102714,102908,103174,103776,103953,104382,105122
Monroe,14833,14742,14619,14623,14513,14516,14368,14266,14097,13946
Montgomery,537664,535294,535564,534415,534168,533713,531992,531293,531395,531542
Morgan,15104,15073,15047,15047,14943,14905,14743,14746,14762,14709
Morrow,34877,34907,34791,34806,34831,34842,34936,34950,34954,34994
Muskingum,85874,85779,86215,86240,85788,85610,85859,86119,85929,86149
Noble,14653,14649,14647,14738,14650,14664,14519,14456,14443,14406
Ottawa,41554,41498,41358,41313,41240,41032,40903,40758,40495,40657
Paulding,19670,19659,19562,19372,19250,19142,18976,18955,18839,18845
Perry,36150,35996,36040,36227,35982,35997,35917,35958,36019,36024
Pickaway,55376,55323,55733,55936,56227,56345,56693,56975,57530,57830
Pike,28763,28679,28741,28603,28496,28398,28307,28245,28237,28270
Portage,160184,161226,161389,161859,161350,161484,162216,162260,162162,162277
Preble,42688,42424,42174,41983,41810,41665,41483,41266,41105,41120
Putnam,34655,34583,34475,34375,34191,34100,34181,34011,34016,33878
Richland,126128,125308,124161,123130,122625,122303,121965,121641,121167,120589
Ross,77675,77862,78088,77559,77355,77254,77078,77068,76910,77313
Sandusky,61184,61039,60883,60596,60454,60040,59823,59454,59281,59195
Scioto,79133,79241,79500,79226,78604,78103,77280,76805,76240,75929
Seneca,57199,56897,56616,56505,56084,55813,55761,55569,55357,55243
Shelby,49454,49540,49313,49214,49109,49122,48934,48967,48726,48759
Stark,377141,376210,375366,374470,374863,375025,375549,374719,373528,372542
Summit,543116,542135,541648,541293,540716,541601,542095,541270,540394,541228
Trumbull,212191,211290,209830,208804,207182,206312,204974,203336,201701,200380
Tuscarawas,92634,92584,92548,92482,92413,92586,92613,92673,92485,92297
Union,50856,51798,52389,53025,52724,53334,53654,54254,55456,56741
Van Wert,29075,28849,28662,28609,28618,28331,28308,28289,28166,28217
Vinton,13452,13474,13405,13377,13221,13303,13210,13082,13021,13092
Warren,208640,211231,213466,215373,217255,219097,221152,223735,226476,228882
Washington,62040,61968,61705,61588,61424,61334,61118,60952,60535,60418
Wayne,114610,114588,114391,114620,114976,115282,115776,116055,116422,116038
Williams,38297,37950,37507,37576,37516,37419,37186,36997,36921,36784
Wood,125275,125384,125947,127103,128403,128912,129230,129183,129704,130492
Wyandot,22642,22644,22585,22635,22538,22454,22268,22156,22042,22029
