County,Total Deaths in 2008,Total Deaths in 2009,Total Deaths in 2010,Total Deaths in 2011,Total Deaths in 2012,Total Deaths in 2013,Total Deaths in 2014,Total Deaths in 2015,Total Deaths in 2016,Total Deaths in 2017
Adams,4,3,3,0,9,10,28,26,35,40
Allen,2,6,6,14,30,31,20,56,74,95
Ashland,4,0,4,7,0,0,9,12,10,7
Ashtabula,6,9,11,5,31,24,47,37,128,53
Athens,3,13,9,37,18,21,21,20,17,14
Auglaize,9,3,6,10,11,10,3,18,7,18
Belmont,12,6,12,3,17,2,12,25,36,24
Brown,9,7,14,11,12,29,27,70,45,83
Butler,100,135,113,151,111,217,370,562,595,737
Carroll,6,5,0,0,8,5,6,12,8,14
Champaign,0,0,18,13,13,9,21,20,29,47
Clark,31,32,39,86,80,76,90,202,205,290
Clermont,85,56,117,115,121,135,213,316,275,279
Clinton,15,14,2,2,21,25,16,58,38,84
Columbiana,7,0,4,7,21,13,24,20,24,41
Coshocton,6,0,2,2,3,8,4,8,4,9
Crawford,6,4,6,7,7,5,27,30,20,51
Cuyahoga,253,271,300,459,452,513,572,670,1673,1779
Darke,5,7,4,7,24,14,29,30,53,81
Defiance,0,4,2,12,5,6,12,23,13,8
Delaware,12,25,27,25,36,35,28,26,29,86
Erie,9,12,6,8,8,11,32,57,76,80
Fairfield,9,40,36,23,38,33,25,43,54,112
Fayette,4,10,3,5,3,4,25,41,19,77
Franklin,226,282,398,429,389,380,423,613,797,1238
Fulton,3,7,14,3,15,3,17,20,29,10
Gallia,6,3,3,9,4,11,7,21,31,56
Geauga,9,7,17,23,21,28,24,47,77,79
Greene,40,16,23,25,23,31,57,103,114,178
Guernsey,0,5,11,2,6,13,24,19,30,23
Hamilton,198,168,227,289,331,435,637,1034,987,1380
Hancock,0,9,6,8,9,9,28,35,55,93
Hardin,7,11,16,10,2,25,3,25,20,22
Harrison,0,0,0,6,0,4,5,7,0,11
Henry,0,0,3,0,0,2,3,19,14,10
Highland,6,6,9,10,5,19,20,19,13,30
Hocking,10,2,6,18,5,19,11,9,9,22
Holmes,0,0,0,3,0,2,0,0,5,5
Huron,10,20,11,19,20,37,41,24,42,85
Jackson,8,11,14,23,15,28,22,25,19,25
Jefferson,5,3,5,17,8,12,15,34,26,57
Knox,11,17,16,25,11,20,17,24,19,36
Lake,37,49,97,108,113,99,117,136,289,263
Lawrence,16,19,21,50,23,25,17,76,66,98
Licking,22,20,28,23,20,41,39,38,27,87
Logan,9,9,7,0,11,16,10,21,35,45
Lorain,25,24,27,28,99,136,144,154,385,370
Lucas,85,87,103,75,172,155,311,306,394,393
Madison,9,6,25,2,17,19,16,17,36,45
Mahoning,72,55,96,120,109,103,118,153,229,316
Marion,9,15,27,26,44,46,58,56,61,90
Medina,21,18,15,32,34,29,41,71,125,97
Meigs,0,0,3,11,0,10,11,6,23,11
Mercer,0,4,3,7,0,5,11,7,5,12
Miami,39,21,21,4,14,18,47,23,82,117
Monroe,0,0,0,0,2,0,4,0,0,0
Montgomery,181,140,109,142,153,212,421,578,895,1500
Morgan,0,0,0,2,0,5,0,0,5,0
Morrow,3,10,9,6,3,17,18,7,14,27
Muskingum,16,8,2,0,14,12,4,9,5,32
Noble,3,3,0,0,0,0,0,10,3,3
Ottawa,0,8,0,0,3,10,9,16,32,13
Paulding,0,5,4,0,0,0,10,0,0,9
Perry,6,3,3,12,6,0,8,8,9,13
Pickaway,5,16,16,28,21,17,10,19,9,27
Pike,9,12,3,12,5,14,13,20,10,37
Portage,9,9,21,10,18,33,63,86,127,99
Preble,11,3,7,0,4,8,21,35,55,77
Putnam,3,0,4,0,3,6,10,11,9,2
Richland,14,27,32,32,22,46,62,74,185,140
Ross,22,50,40,47,32,34,76,103,113,84
Sandusky,10,3,3,3,5,9,27,31,45,50
Scioto,34,29,26,28,16,23,35,37,62,100
Seneca,0,9,0,16,8,23,26,12,15,39
Shelby,10,8,7,12,5,10,15,21,45,66
Stark,25,17,74,85,83,97,150,169,276,264
Summit,49,80,100,78,154,132,293,411,846,597
Trumbull,59,59,87,92,47,72,122,227,302,346
Tuscarawas,5,5,8,26,10,12,7,20,34,62
Union,3,10,30,0,3,10,16,13,16,33
Van Wert,0,4,9,16,4,13,11,3,21,23
Vinton,3,4,0,3,5,2,5,4,5,2
Warren,33,41,54,32,39,43,73,102,159,234
Washington,0,4,5,5,6,7,29,19,41,31
Wayne,19,7,4,20,17,2,22,64,93,42
Williams,6,3,10,0,1,12,5,2,21,7
Wood,9,27,14,6,8,8,42,65,52,45
Wyandot,0,3,0,0,2,0,0,4,15,7
